1: Wiseman2 couldn't take right fork, now waiting
2: Wiseman2 couldn't take right fork, now waiting
3: Wiseman2 couldn't take right fork, now waiting
4: Wiseman2 couldn't take right fork, now waiting
5: Wiseman2 couldn't take right fork, now waiting
6: Wiseman2 couldn't take right fork, now waiting
7: Wiseman2 couldn't take right fork, now waiting
8: Wiseman2 couldn't take right fork, now waiting
9: Wiseman2 couldn't take right fork, now waiting
10: Wiseman2 couldn't take right fork, now waiting
11: Wiseman2 couldn't take right fork, now waiting
12: Wiseman2 couldn't take right fork, now waiting
13: Wiseman2 couldn't take right fork, now waiting
14: Wiseman2 couldn't take right fork, now waiting
15: Wiseman2 couldn't take right fork, now waiting
16: Wiseman2 couldn't take right fork, now waiting
17: Wiseman2 couldn't take right fork, now waiting
18: Wiseman2 couldn't take right fork, now waiting
19: Wiseman2 couldn't take right fork, now waiting
20: Wiseman2 couldn't take right fork, now waiting
21: Wiseman2 couldn't take right fork, now waiting
22: Wiseman2 couldn't take right fork, now waiting
23: Wiseman2 couldn't take right fork, now waiting
24: Wiseman2 couldn't take right fork, now waiting
25: Wiseman2 couldn't take right fork, now waiting
26: Wiseman2 couldn't take right fork, now waiting
27: Wiseman2 couldn't take right fork, now waiting
28: Wiseman2 couldn't take right fork, now waiting
29: Wiseman2 couldn't take right fork, now waiting
30: Wiseman2 couldn't take right fork, now waiting
31: Wiseman2 couldn't take right fork, now waiting
32: Wiseman2 couldn't take right fork, now waiting
33: Wiseman2 couldn't take right fork, now waiting
34: Wiseman2 couldn't take right fork, now waiting
35: Wiseman2 couldn't take right fork, now waiting
36: Wiseman2 couldn't take right fork, now waiting
37: Wiseman2 couldn't take right fork, now waiting
38: Wiseman2 couldn't take right fork, now waiting
39: Wiseman2 couldn't take right fork, now waiting
40: Wiseman2 couldn't take right fork, now waiting
41: Wiseman2 couldn't take right fork, now waiting
42: Wiseman2 couldn't take right fork, now waiting
43: Wiseman2 couldn't take right fork, now waiting
44: Wiseman2 couldn't take right fork, now waiting
45: Wiseman2 couldn't take right fork, now waiting
46: Wiseman2 couldn't take right fork, now waiting
47: Wiseman2 couldn't take right fork, now waiting
48: Wiseman2 couldn't take right fork, now waiting
49: Wiseman2 couldn't take right fork, now waiting
50: Wiseman2 couldn't take right fork, now waiting
51: Wiseman2 couldn't take right fork, now waiting
52: Wiseman2 couldn't take right fork, now waiting
53: Wiseman2 couldn't take right fork, now waiting
54: Wiseman2 couldn't take right fork, now waiting
55: Wiseman2 couldn't take right fork, now waiting
56: Wiseman2 couldn't take right fork, now waiting
57: Wiseman2 couldn't take right fork, now waiting
58: Wiseman2 couldn't take right fork, now waiting
59: Wiseman2 couldn't take right fork, now waiting
60: Wiseman2 couldn't take right fork, now waiting
61: Wiseman2 couldn't take right fork, now waiting
62: Wiseman2 couldn't take right fork, now waiting
63: Wiseman2 couldn't take right fork, now waiting
64: Wiseman2 couldn't take right fork, now waiting
65: Wiseman2 couldn't take right fork, now waiting
66: Wiseman2 couldn't take right fork, now waiting
67: Wiseman2 couldn't take right fork, now waiting
68: Wiseman2 couldn't take right fork, now waiting
69: Wiseman2 couldn't take right fork, now waiting
70: Wiseman2 couldn't take right fork, now waiting
71: Wiseman2 couldn't take right fork, now waiting
72: Wiseman2 couldn't take right fork, now waiting
