1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
10: Wiseman4 couldn't take right fork, now waiting
11: Wiseman4 couldn't take right fork, now waiting
12: Wiseman4 couldn't take right fork, now waiting
13: Wiseman4 couldn't take right fork, now waiting
14: Wiseman4 couldn't take right fork, now waiting
15: Wiseman4 couldn't take right fork, now waiting
16: Wiseman4 couldn't take right fork, now waiting
17: Wiseman4 couldn't take right fork, now waiting
18: Wiseman4 couldn't take right fork, now waiting
19: Wiseman4 couldn't take right fork, now waiting
20: Wiseman4 couldn't take right fork, now waiting
21: Wiseman4 couldn't take right fork, now waiting
22: Wiseman4 couldn't take right fork, now waiting
23: Wiseman4 couldn't take right fork, now waiting
24: Wiseman4 couldn't take right fork, now waiting
25: Wiseman4 couldn't take right fork, now waiting
26: Wiseman4 couldn't take right fork, now waiting
27: Wiseman4 couldn't take right fork, now waiting
28: Wiseman4 couldn't take right fork, now waiting
29: Wiseman4 couldn't take right fork, now waiting
30: Wiseman4 couldn't take right fork, now waiting
31: Wiseman4 couldn't take right fork, now waiting
32: Wiseman4 couldn't take right fork, now waiting
33: Wiseman4 couldn't take right fork, now waiting
34: Wiseman4 couldn't take right fork, now waiting
35: Wiseman4 couldn't take right fork, now waiting
36: Wiseman4 couldn't take right fork, now waiting
37: Wiseman4 couldn't take right fork, now waiting
38: Wiseman4 couldn't take right fork, now waiting
39: Wiseman4 couldn't take right fork, now waiting
40: Wiseman4 couldn't take right fork, now waiting
41: Wiseman4 couldn't take right fork, now waiting
42: Wiseman4 couldn't take right fork, now waiting
43: Wiseman4 couldn't take right fork, now waiting
44: Wiseman4 couldn't take right fork, now waiting
45: Wiseman4 couldn't take right fork, now waiting
46: Wiseman4 couldn't take right fork, now waiting
47: Wiseman4 couldn't take right fork, now waiting
48: Wiseman4 couldn't take right fork, now waiting
49: Wiseman4 couldn't take right fork, now waiting
50: Wiseman4 couldn't take right fork, now waiting
51: Wiseman4 couldn't take right fork, now waiting
52: Wiseman4 couldn't take right fork, now waiting
53: Wiseman4 couldn't take right fork, now waiting
54: Wiseman4 couldn't take right fork, now waiting
55: Wiseman4 couldn't take right fork, now waiting
56: Wiseman4 couldn't take right fork, now waiting
57: Wiseman4 couldn't take right fork, now waiting
58: Wiseman4 couldn't take right fork, now waiting
59: Wiseman4 couldn't take right fork, now waiting
60: Wiseman4 couldn't take right fork, now waiting
61: Wiseman4 couldn't take right fork, now waiting
62: Wiseman4 couldn't take right fork, now waiting
63: Wiseman4 couldn't take right fork, now waiting
64: Wiseman4 couldn't take right fork, now waiting
65: Wiseman4 couldn't take right fork, now waiting
66: Wiseman4 couldn't take right fork, now waiting
67: Wiseman4 couldn't take right fork, now waiting
68: Wiseman4 couldn't take right fork, now waiting
69: Wiseman4 couldn't take right fork, now waiting
70: Wiseman4 couldn't take right fork, now waiting
71: Wiseman4 couldn't take right fork, now waiting
72: Wiseman4 couldn't take right fork, now waiting
73: Wiseman4 couldn't take right fork, now waiting
74: Wiseman4 couldn't take right fork, now waiting
75: Wiseman4 couldn't take right fork, now waiting
76: Wiseman4 couldn't take right fork, now waiting
77: Wiseman4 couldn't take right fork, now waiting
78: Wiseman4 couldn't take right fork, now waiting
79: Wiseman4 couldn't take right fork, now waiting
80: Wiseman4 couldn't take right fork, now waiting
